Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Barometer Temperature,Barometer Pressure,Barometer Altitude,Steps
2024-06-18T20:22:36.000Z,,,,117,60,,30.96832071940,988.17816371758,210.86301913864,0
2024-06-18T20:22:46.000Z,,,,114,0,,30.98595021565,987.93527514310,212.92688207006,0
2024-06-18T20:22:56.000Z,,,,110,0,,31.00567016601,988.13827216155,211.20195585594,0
2024-06-18T20:23:06.000Z,,,,112,5,,31.07158915201,987.94486103163,212.84542146035,0
2024-06-18T20:23:16.000Z,,,,112,18,,31.07793019612,987.97868021647,212.55803209562,0
2024-06-18T20:23:26.000Z,,,,112,24,,31.09813791910,987.96865291531,212.64324147099,0
2024-06-18T20:23:36.000Z,,,,100,29,,31.12461700439,988.13750260259,211.20849448614,0
2024-06-18T20:23:46.000Z,,,,98,35,,31.20635375976,988.06397237666,211.83326999681,0
2024-06-18T20:23:56.000Z,,,,104,20,,31.25408579508,987.96437398095,212.67960294608,0
2024-06-18T20:24:06.000Z,,,,103,84,,31.26286570231,988.03033496846,212.11909465535,0
2024-06-18T20:24:16.000Z,,,,103,87,,31.26662851969,988.02887077080,212.13153645267,0
2024-06-18T20:24:26.000Z,,,,104,75,,31.31449991861,987.97799564425,212.56384938854,0
2024-06-18T20:24:36.000Z,,,,104,91,,31.33575286865,988.04111064669,212.02753042474,0
2024-06-18T20:24:46.000Z,,,,101,38,,31.39540049235,987.98856842555,212.47400537397,0
2024-06-18T20:24:56.000Z,,,,101,74,,31.40668894449,987.95906850697,212.72468791379,0
2024-06-18T20:25:06.000Z,,,,103,70,,31.45644175211,987.95529957627,212.75671573107,0
2024-06-18T20:25:16.000Z,,,,106,46,,31.50180460611,988.18429686941,210.81091008705,0
2024-06-18T20:25:26.000Z,,,,100,95,,31.54953664143,987.98474021625,212.50653614629,0
2024-06-18T20:25:36.000Z,,,,90,90,,31.56758422851,987.93323187476,212.94424578939,0
2024-06-18T20:25:46.000Z,,,,87,89,,31.57364654541,987.98171205309,212.53226848104,0
2024-06-18T20:25:56.000Z,,,,85,100,,31.57747904459,987.91997397085,213.05691232538,0
2024-06-18T20:26:06.000Z,,,,86,93,,31.59043986002,987.96104525755,212.70788981845,0
2024-06-18T20:26:16.000Z,,,,84,79,,31.58793131510,987.91350149981,213.11191625299,0
2024-06-18T20:26:26.000Z,,,,86,80,,31.60576985677,987.93809978502,212.90287827639,0
2024-06-18T20:26:36.000Z,,,,86,85,,31.61329549153,987.94269171007,212.86385623765,0
2024-06-18T20:26:46.000Z,,,,84,91,,31.63050689697,987.92045977623,213.05278389783,0
2024-06-18T20:26:56.000Z,,,,80,27,,31.64618530273,987.97936600804,212.55220444425,0
2024-06-18T20:27:06.000Z,,,,82,93,,31.66228179931,987.95906855925,212.72468746958,0
2024-06-18T20:27:16.000Z,,,,87,49,,31.66590525309,987.89730016621,213.24959863978,0
2024-06-18T20:27:26.000Z,,,,84,45,,31.73370564778,987.87835069640,213.41063759369,0
2024-06-18T20:27:36.000Z,,,,92,78,,31.73544769287,987.78369151040,214.21512058038,0
2024-06-18T20:27:46.000Z,,,,102,32,,31.77732645670,988.15446136182,211.06440374654,0
2024-06-18T20:27:56.000Z,,,,96,59,,31.80833485921,987.87674424473,213.42428987414,0
2024-06-18T20:28:06.000Z,,,,113,29,,31.80178476969,987.84774954209,213.67070175392,0
2024-06-18T20:28:16.000Z,,,,104,0,,31.84575398763,987.99606636629,212.41029081396,0
2024-06-18T20:28:26.000Z,,,,116,67,,31.87383575439,987.91199022123,213.12475934324,0
2024-06-18T20:28:36.000Z,,,,105,75,,31.90303243001,987.88811638379,213.32764519255,0
2024-06-18T20:28:46.000Z,,,,109,67,,31.90414733886,987.90388741694,213.19361855825,0
2024-06-18T20:28:56.000Z,,,,94,43,,31.90435638427,987.84836895142,213.66543763397,0
2024-06-18T20:29:06.000Z,,,,86,60,,31.88108266194,987.93934122253,212.89232856386,0
2024-06-18T20:29:16.000Z,,,,86,33,,31.90707397460,987.93367047607,212.94051854764,0
2024-06-18T20:29:26.000Z,,,,94,69,,31.91857147216,987.92814708882,212.98745648872,0
2024-06-18T20:29:36.000Z,,,,87,56,,31.91745656331,987.93771839308,212.90611934006,0
2024-06-18T20:29:46.000Z,,,,83,100,,31.94323883056,988.00896909425,212.30064940831,0
2024-06-18T20:29:56.000Z,,,,82,10,,31.93160196940,987.98184297197,212.53115597417,0
2024-06-18T20:30:06.000Z,,,,85,91,,31.94839528401,987.96360430699,212.68614348540,0
2024-06-18T20:30:16.000Z,,,,84,100,,31.96769714355,988.03815410861,212.05265295175,0
2024-06-18T20:30:26.000Z,,,,82,100,,31.99536081949,987.99487015192,212.42045574831,0
2024-06-18T20:30:36.000Z,,,,83,62,,32.03821512858,987.97351581578,212.60191773073,0
2024-06-18T20:30:46.000Z,,,,84,81,,32.02518463134,988.04548420477,211.99036719600,0
2024-06-18T20:30:56.000Z,,,,87,91,,32.02295481363,988.10928708681,211.44823312102,0
2024-06-18T20:31:06.000Z,,,,91,77,,32.01438395182,988.17975979870,210.84945834145,0
2024-06-18T20:31:16.000Z,,,,91,96,,31.99180704752,988.18276053159,210.82396323792,0
2024-06-18T20:31:26.000Z,,,,88,23,,31.99055277506,988.29955409419,209.83169969609,0
2024-06-18T20:31:36.000Z,,,,88,44,,31.98665059407,988.31048540950,209.73883346369,0
2024-06-18T20:31:46.000Z,,,,91,40,,31.97926432291,988.28219761924,209.97915213585,0
2024-06-18T20:31:56.000Z,,,,98,66,,31.97849782307,988.19914676096,210.68474215020,0
2024-06-18T20:32:06.000Z,,,,87,94,,31.97724355061,988.22153901180,210.49449557669,0
2024-06-18T20:32:16.000Z,,,,87,53,,31.95815073649,988.20487463108,210.63607731920,0
2024-06-18T20:32:26.000Z,,,,94,80,,31.97487436930,988.20410032361,210.64265593653,0
2024-06-18T20:32:36.000Z,,,,93,57,,31.99104054768,988.17132007453,210.92116504056,0
2024-06-18T20:32:46.000Z,,,,93,34,,31.96985727945,988.18503511305,210.80463777083,0
2024-06-18T20:32:56.000Z,,,,82,38,,31.96449178059,988.17460020850,210.89329587422,0
2024-06-18T20:33:06.000Z,,,,80,88,,31.97654673258,988.19240738476,210.74200117880,0
2024-06-18T20:33:16.000Z,,,,87,94,,32.01549886067,988.22225234720,210.48843507242,0
2024-06-18T20:33:26.000Z,,,,87,46,,31.99104054768,988.14042903912,211.18362976444,0
2024-06-18T20:33:36.000Z,,,,101,25,,31.99759063720,988.25051809074,210.24829190178,0
2024-06-18T20:33:46.000Z,,,,97,70,,32.00706736246,988.15124687709,211.09171558389,0
2024-06-18T20:33:56.000Z,,,,100,0,,32.02016754150,988.24508838828,210.29442172545,0
2024-06-18T20:34:06.000Z,,,,100,62,,32.01898295084,988.15376387424,211.07032993663,0
2024-06-18T20:34:16.000Z,,,,102,52,,31.99473368326,988.17829224901,210.86192709530,0
2024-06-18T20:34:26.000Z,,,,114,68,,32.02379099527,988.17476865209,210.89186472053,0
2024-06-18T20:34:36.000Z,,,,126,0,,32.02177022298,988.14765704638,211.12221662964,0
2024-06-18T20:34:46.000Z,,,,109,45,,31.98469950358,988.14432576726,211.15052096856,0
2024-06-18T20:34:56.000Z,,,,111,78,,31.98428141276,988.13270010102,211.24929948630,0
2024-06-18T20:35:06.000Z,,,,104,71,,32.02441813151,988.23107923483,210.41344204561,0
2024-06-18T20:35:16.000Z,,,,102,34,,32.01898295084,988.28252845306,209.97634150785,0
2024-06-18T20:35:26.000Z,,,,102,19,,32.03877258300,988.18868621161,210.77361711285,0
2024-06-18T20:35:36.000Z,,,,100,48,,32.07152303059,988.56450000611,207.58110421888,0
2024-06-18T20:35:46.000Z,,,,88,20,,32.07758534749,988.22140524013,210.49563210240,0
2024-06-18T20:35:56.000Z,,,,91,52,,32.10497029622,988.20261823859,210.65524793593,0
2024-06-18T20:36:06.000Z,,,,91,21,,32.08657430013,988.21358177354,210.56210058755,0
2024-06-18T20:36:16.000Z,,,,91,70,,32.08587748209,988.10392186340,211.49382041568,0
2024-06-18T20:36:26.000Z,,,,93,51,,32.13124033610,988.16956658690,210.93606331591,0
2024-06-18T20:36:36.000Z,,,,98,100,,32.13402760823,988.12307983133,211.33103968357,0
2024-06-18T20:36:46.000Z,,,,100,63,,32.16663869222,988.20854084322,210.60492875888,0
2024-06-18T20:36:56.000Z,,,,107,54,,32.17994791666,988.20245106821,210.65666823959,0
2024-06-18T20:37:06.000Z,,,,107,81,,32.17541859944,988.16516962893,210.97342158106,0
2024-06-18T20:37:16.000Z,,,,107,93,,32.18482564290,988.20182987080,210.66194602403,0
2024-06-18T20:37:26.000Z,,,,93,63,,32.22315063476,988.10258470775,211.50518200705,0
2024-06-18T20:37:36.000Z,,,,93,88,,32.21311645507,988.22400417034,210.47355158165,0
2024-06-18T20:37:46.000Z,,,,100,71,,32.20949300130,988.16162139458,211.00356885833,0
2024-06-18T20:37:56.000Z,,,,109,82,,32.20043436686,988.05014284907,211.95078166403,0
2024-06-18T20:38:06.000Z,,,,112,80,,32.23241831461,988.27251260745,210.06143234784,0
2024-06-18T20:38:16.000Z,,,,111,0,,32.23792317708,988.15234400009,211.08239388124,0
2024-06-18T20:38:26.000Z,,,,114,65,,32.27589975992,988.12571267281,211.30866925065,0
2024-06-18T20:38:36.000Z,,,,107,89,,32.28231048583,988.20640396138,210.62308394158,0
2024-06-18T20:38:46.000Z,,,,112,44,,32.29318084716,988.21514483785,210.54882069660,6
2024-06-18T20:38:56.000Z,,,,118,37,,32.30474802652,988.04104608395,212.02807903167,16
2024-06-18T20:39:06.000Z,,,,117,99,,32.30509643554,988.09675061072,211.55475351453,0
2024-06-18T20:39:16.000Z,,,,91,50,,32.29011484781,988.08572442749,211.64844210046,10
2024-06-18T20:39:26.000Z,,,,91,0,,32.27018585205,988.17539667585,210.88652882007,0
2024-06-18T20:39:36.000Z,,,,92,58,,32.27555135091,988.17113807609,210.92271136515,0
2024-06-18T20:39:46.000Z,,,,100,82,,32.26774698893,988.18953359924,210.76641750621,0
2024-06-18T20:39:56.000Z,,,,122,36,,32.25004781087,988.22916819795,210.42967812341,0
2024-06-18T20:40:06.000Z,,,,121,41,,32.22496236165,988.13094332645,211.26422616112,0
2024-06-18T20:40:16.000Z,,,,110,63,,32.17862396240,988.18364687673,210.81643260258,0
2024-06-18T20:40:26.000Z,,,,114,71,,32.16162160237,988.15036844096,211.09917922024,0
2024-06-18T20:40:36.000Z,,,,103,49,,32.14113515218,988.17528467266,210.88748043657,0
2024-06-18T20:40:46.000Z,,,,100,36,,32.12106679280,988.20222281141,210.65860754258,0
2024-06-18T20:40:56.000Z,,,,104,34,,32.09235788981,988.24651665320,210.28228741105,0
2024-06-18T20:41:06.000Z,,,,107,99,,32.07096557617,988.14589706991,211.13717032659,0
2024-06-18T20:41:16.000Z,,,,106,68,,32.04685567220,988.21568117232,210.54426396966,0
2024-06-18T20:41:26.000Z,,,,96,79,,32.04741312662,988.20418633265,210.64192519229,0
2024-06-18T20:41:36.000Z,,,,98,88,,32.01117858886,988.17505096651,210.88946608218,0
2024-06-18T20:41:46.000Z,,,,87,96,,32.00163218180,988.09672039945,211.55501021615,0
2024-06-18T20:41:56.000Z,,,,86,88,,32.02532399495,988.20725208636,210.61587817480,7
2024-06-18T20:42:06.000Z,,,,89,84,,32.02678731282,988.16105386871,211.00839080268,0
2024-06-18T20:42:16.000Z,,,,97,43,,32.01055145263,988.18711516243,210.78696513316,0
2024-06-18T20:42:26.000Z,,,,101,30,,31.99257354736,988.18957315033,210.76608147089,0
